,TABLE_NAME,COLUMN_NAME,OBJECT_NAME,LABEL,SQL_TYPE,PRESCISION,IS_PK,IS_FK,AUTO++,NULLABLE,DESCRIPTION
,PARAMETRO,,Parametro,,"Parametro",,,,
,,id_parametro,IdParametro,"Id Parametro",INT,0,true,false,true,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,valor_es,ValorEs,"Valor Es",VARCHAR,255,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,clave,Clave,"Clave",VARCHAR,50,false,false,false,false
,,valor_en,ValorEn,"Valor En",VARCHAR,255,false,false,false,false
,REGION,,Region,,"Region",,,,
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,id_region,IdRegion,"Id Region",INT,0,true,false,true,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,cve_region,CveRegion,"Cve Region",VARCHAR,3,false,false,false,false
,,nombre,Nombre,"Nombre",VARCHAR,50,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,PAIS,,Pais,,"Pais",,,,
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,id_region,IdRegion,"Id Region",INT,0,false,true,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,id_pais,IdPais,"Id Pais",INT,0,true,false,true,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,nombre,Nombre,"Nombre",VARCHAR,50,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,CIUDAD,,Ciudad,,"Ciudad",,,,
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,id_ciudad,IdCiudad,"Id Ciudad",INT,0,true,false,true,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,id_pais,IdPais,"Id Pais",INT,0,false,true,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,nombre,Nombre,"Nombre",VARCHAR,50,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,ESTACION,,Estacion,,"Estacion",,,,
,,observaciones,Observaciones,"Observaciones",VARCHAR,150,false,false,false,true
,,id_ciudad,IdCiudad,"Id Ciudad",INT,0,false,true,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,clave_iata,ClaveIata,"Clave Iata",VARCHAR,3,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,id_estacion,IdEstacion,"Id Estacion",INT,0,true,false,true,false
,,nombre,Nombre,"Nombre",VARCHAR,100,false,false,false,false
,CLASE,,Clase,,"Clase",,,,
,,id_clase,IdClase,"Id Clase",INT,0,true,false,true,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,nombre_esp,NombreEsp,"Nombre Esp",VARCHAR,50,false,false,false,false
,,nombre_eng,NombreEng,"Nombre Eng",VARCHAR,64,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,clave,Clave,"Clave",VARCHAR,10,false,false,false,false
,COMPANIA,,Compania,,"Compania",,,,
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,id_compania,IdCompania,"Id Compania",INT,0,true,false,true,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,cve_compania,CveCompania,"Cve Compania",VARCHAR,3,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
